ca_country = 'United States' AND ca_state in ('AK', 'IN', 'SC')
ca_country = 'United States' AND ca_state in ('KY', 'NV', 'VA')
ca_country = 'United States' AND ca_state in ('KY', 'TN', 'VA')
ca_country = 'United States' AND ca_state in ('LA', 'MI', 'NC')
ca_country = 'United States' AND ca_state in ('LA', 'MO', 'ND')
ca_country = 'United States' AND ca_state in ('LA', 'MO', 'TX')
ca_country = 'United States' AND ca_state in ('LA', 'MS', 'TN')
ca_country = 'United States' AND ca_state in ('LA', 'NE', 'PA')
ca_country = 'United States' AND ca_state in ('LA', 'NE', 'TX')
ca_country = 'United States' AND ca_state in ('LA', 'NM', 'WI')
ca_country = 'United States' AND ca_state in ('LA', 'SC', 'TX')
ca_country = 'United States' AND ca_state in ('LA', 'WA', 'WI')
ca_country = 'United States' AND ca_state in ('MD', 'MN', 'TX')
ca_country = 'United States' AND ca_state in ('MD', 'MT', 'OR')
ca_country = 'United States' AND ca_state in ('MD', 'PA', 'TX')
ca_country = 'United States' AND ca_state in ('ME', 'OK', 'SD')
ca_country = 'United States' AND ca_state in ('ME', 'PA', 'TX')
ca_country = 'United States' AND ca_state in ('ME', 'VA', 'WA')
ca_country = 'United States' AND ca_state in ('MI', 'MO', 'TX')
ca_country = 'United States' AND ca_state in ('MI', 'MO', 'WI')
ca_country = 'United States' AND ca_state in ('MI', 'MS', 'NY')
ca_country = 'United States' AND ca_state in ('MI', 'MT', 'VA')
ca_country = 'United States' AND ca_state in ('MI', 'NC', 'PA')
ca_country = 'United States' AND ca_state in ('MI', 'NC', 'RI')
ca_country = 'United States' AND ca_state in ('MI', 'NC', 'TX')
ca_country = 'United States' AND ca_state in ('MI', 'ND', 'VA')
ca_country = 'United States' AND ca_state in ('MI', 'NJ', 'TX')
ca_country = 'United States' AND ca_state in ('MI', 'NM', 'TX')
ca_country = 'United States' AND ca_state in ('MI', 'NM', 'WI')
ca_country = 'United States' AND ca_state in ('MI', 'OK', 'PA')
ca_country = 'United States' AND ca_state in ('MI', 'TN', 'WA')
ca_country = 'United States' AND ca_state in ('MI', 'VA', 'WY')
ca_country = 'United States' AND ca_state in ('MN', 'MO', 'WA')
ca_country = 'United States' AND ca_state in ('MN', 'NE', 'VA')
ca_country = 'United States' AND ca_state in ('MN', 'NJ', 'TX')
ca_country = 'United States' AND ca_state in ('MN', 'OR', 'WY')
ca_country = 'United States' AND ca_state in ('MN', 'SC', 'WY')
ca_country = 'United States' AND ca_state in ('MO', 'MS', 'TX')
ca_country = 'United States' AND ca_state in ('MO', 'MT', 'OK')
ca_country = 'United States' AND ca_state in ('MO', 'MT', 'PA')
ca_country = 'United States' AND ca_state in ('MO', 'NC', 'OH')
ca_country = 'United States' AND ca_state in ('MO', 'NV', 'OR')
ca_country = 'United States' AND ca_state in ('MO', 'NY', 'TX')
ca_country = 'United States' AND ca_state in ('MO', 'OH', 'WA')
ca_country = 'United States' AND ca_state in ('MO', 'SC', 'VA')
ca_country = 'United States' AND ca_state in ('MO', 'TX', 'WA')
ca_country = 'United States' AND ca_state in ('MO', 'WI', 'WV')
ca_country = 'United States' AND ca_state in ('MS', 'NH', 'TX')
ca_country = 'United States' AND ca_state in ('MS', 'OH', 'OR')
ca_country = 'United States' AND ca_state in ('MS', 'OH', 'TN')
ca_country = 'United States' AND ca_state in ('MS', 'OH', 'VA')
ca_country = 'United States' AND ca_state in ('MS', 'SC', 'VA')
ca_country = 'United States' AND ca_state in ('MS', 'SD', 'TN')
ca_country = 'United States' AND ca_state in ('MT', 'NC', 'OH')
ca_country = 'United States' AND ca_state in ('MT', 'ND', 'VA')
ca_country = 'United States' AND ca_state in ('MT', 'NY', 'VA')
ca_country = 'United States' AND ca_state in ('MT', 'SC', 'TX')
ca_country = 'United States' AND ca_state in ('NC', 'NE', 'TN')
ca_country = 'United States' AND ca_state in ('NC', 'NH', 'VA')
ca_country = 'United States' AND ca_state in ('NC', 'NM', 'OH')
ca_country = 'United States' AND ca_state in ('NC', 'OH', 'PA')
ca_country = 'United States' AND ca_state in ('NC', 'UT', 'WI')
ca_country = 'United States' AND ca_state in ('ND', 'NY', 'OK')
ca_country = 'United States' AND ca_state in ('ND', 'TX', 'WI')
ca_country = 'United States' AND ca_state in ('NE', 'OR', 'TN')
ca_country = 'United States' AND ca_state in ('NE', 'TN', 'TX')
ca_country = 'United States' AND ca_state in ('NJ', 'PA', 'VA')
ca_country = 'United States' AND ca_state in ('NM', 'NY', 'WA')
ca_country = 'United States' AND ca_state in ('NM', 'TX', 'VA')
ca_country = 'United States' AND ca_state in ('NV', 'TN', 'TX')
ca_country = 'United States' AND ca_state in ('NY', 'OH', 'PA')
ca_country = 'United States' AND ca_state in ('NY', 'OK', 'TX')
ca_country = 'United States' AND ca_state in ('NY', 'PA', 'VA')
ca_country = 'United States' AND ca_state in ('OH', 'TX', 'WI')
ca_country = 'United States' AND ca_state in ('OH', 'TX', 'WV')
ca_country = 'United States' AND ca_state in ('OH', 'VA', 'WA')
ca_country = 'United States' AND ca_state in ('OH', 'WI', 'WY')
ca_country = 'United States' AND ca_state in ('OK', 'SC', 'VA')
ca_country = 'United States' AND ca_state in ('OK', 'TX', 'WY')
ca_country = 'United States' AND ca_state in ('PA', 'TX', 'VT')
ca_country = 'United States' AND ca_state in ('PA', 'WA', 'WV')
ca_country = 'United States' AND ca_state in ('SC', 'TX', 'VA')
ca_country = 'United States' AND ca_state in ('SD', 'TX', 'VA')
ca_country = 'United States' AND ca_state in ('SD', 'TX', 'WI')
ca_country = 'United States' AND ca_state in ('TN', 'TX', 'WV')
ca_country = 'United States' AND ca_state in ('TX', 'UT', 'VA')
ca_country = 'United States' AND ca_state in ('TX', 'VA', 'WY')
ca_country = 'United States' AND ca_state in ('TX', 'WA', 'WI')
cd1.cd_marital_status = 'D' AND cd1.cd_education_status = '2 yr Degree'
cd1.cd_marital_status = 'D' AND cd1.cd_education_status = '4 yr Degree'
cd1.cd_marital_status = 'D' AND cd1.cd_education_status = 'Advanced Degree'
cd1.cd_marital_status = 'D' AND cd1.cd_education_status = 'College'
cd1.cd_marital_status = 'D' AND cd1.cd_education_status = 'Primary'
cd1.cd_marital_status = 'D' AND cd1.cd_education_status = 'Unknown'
cd1.cd_marital_status = 'M' AND cd1.cd_education_status = '2 yr Degree'
cd1.cd_marital_status = 'M' AND cd1.cd_education_status = '4 yr Degree'
cd1.cd_marital_status = 'M' AND cd1.cd_education_status = 'Advanced Degree'
cd1.cd_marital_status = 'M' AND cd1.cd_education_status = 'College'
cd1.cd_marital_status = 'M' AND cd1.cd_education_status = 'Primary'
cd1.cd_marital_status = 'M' AND cd1.cd_education_status = 'Unknown'
cd1.cd_marital_status = 'S' AND cd1.cd_education_status = '2 yr Degree'
cd1.cd_marital_status = 'S' AND cd1.cd_education_status = '4 yr Degree'
cd1.cd_marital_status = 'S' AND cd1.cd_education_status = 'Advanced Degree'
cd1.cd_marital_status = 'S' AND cd1.cd_education_status = 'College'
cd1.cd_marital_status = 'S' AND cd1.cd_education_status = 'Primary'
cd1.cd_marital_status = 'S' AND cd1.cd_education_status = 'Unknown'
cd1.cd_marital_status = 'U' AND cd1.cd_education_status = 'Advanced Degree'
cd1.cd_marital_status = 'U' AND cd1.cd_education_status = 'College'
cd1.cd_marital_status = 'W' AND cd1.cd_education_status = '2 yr Degree'
cd1.cd_marital_status = 'W' AND cd1.cd_education_status = '4 yr Degree'
cd1.cd_marital_status = 'W' AND cd1.cd_education_status = 'Advanced Degree'
cd1.cd_marital_status = 'W' AND cd1.cd_education_status = 'College'
cd1.cd_marital_status = 'W' AND cd1.cd_education_status = 'Primary'
cd1.cd_marital_status = 'W' AND cd1.cd_education_status = 'Unknown'
d_year = 1998
d_year = 1999
d_year = 2000
d_year = 2001
d_year = 2002
